date,county,state,fips,cases,deaths
2/4/2020,BOGOTA,BOGOTA,11001,1,0
3/6/2020,BOGOTA,BOGOTA,11001,1,0
3/9/2020,BUGA,VALLE,76111,1,0
3/9/2020,MEDELLIN,ANTIOQUIA,5001,1,0
3/11/2020,BOGOTA,BOGOTA,11001,2,0
3/11/2020,CARTAGENA,CARTAGENA,13001,1,0
3/11/2020,ITAGUI,ANTIOQUIA,5360,1,0
3/11/2020,MEDELLIN,ANTIOQUIA,5001,2,0
3/12/2020,BOGOTA,BOGOTA,11001,2,0
3/12/2020,NEIVA,HUILA,41001,2,0
3/13/2020,BOGOTA,BOGOTA,11001,1,0
3/13/2020,CALI,VALLE,76001,1,0
3/13/2020,MANIZALES,CALDAS,17001,1,0
3/13/2020,PALMIRA,VALLE,76520,1,0
3/13/2020,VILLAVICENCIO,META,50001,1,0
3/14/2020,BOGOTA,BOGOTA,11001,10,0
3/14/2020,DOSQUEBRADAS,RISARALDA,66170,1,0
3/14/2020,MEDELLIN,ANTIOQUIA,5001,2,0
3/14/2020,NEIVA,HUILA,41001,1,0
3/14/2020,RIONEGRO,ANTIOQUIA,5615,1,0
3/15/2020,BOGOTA,BOGOTA,11001,10,0
3/15/2020,BUCARAMANGA,SANTANDER,68001,1,0
3/15/2020,CARTAGENA,CARTAGENA,13001,2,0
3/15/2020,CUCUTA,NORTE SANTANDER,54001,1,0
3/15/2020,MEDELLIN,ANTIOQUIA,5001,1,0
3/15/2020,NEIVA,HUILA,41001,4,0
3/15/2020,SUBACHOQUE,CUNDINAMARCA,25769,1,0
3/16/2020,BARRANQUILLA,BARRANQUILLA,8001,2,0
3/16/2020,BOGOTA,BOGOTA,11001,6,0
3/16/2020,CALI,VALLE,76001,2,0
3/16/2020,CARTAGENA,CARTAGENA,13001,2,1
3/16/2020,FLORIDABLANCA,SANTANDER,68276,1,0
3/16/2020,SOACHA,CUNDINAMARCA,25754,1,0
3/17/2020,ARMENIA,QUINDIO,63001,2,0
3/17/2020,BOGOTA,BOGOTA,11001,7,0
3/17/2020,CAJICA,CUNDINAMARCA,25126,2,0
3/17/2020,CALI,VALLE,76001,5,0
3/17/2020,CARTAGENA,CARTAGENA,13001,1,0
3/17/2020,CUCUTA,NORTE SANTANDER,54001,2,0
3/17/2020,IBAGUE,TOLIMA,73001,1,0
3/17/2020,NEIVA,HUILA,41001,1,0
3/17/2020,PALMIRA,VALLE,76520,3,0
3/17/2020,PEREIRA,RISARALDA,66001,1,0
3/18/2020,BOGOTA,BOGOTA,11001,5,0
3/18/2020,CARTAGENA,CARTAGENA,13001,3,0
3/18/2020,DOSQUEBRADAS,RISARALDA,66170,1,0
3/18/2020,IBAGUE,TOLIMA,73001,1,0
3/18/2020,PEREIRA,RISARALDA,66001,2,0
3/19/2020,ARMENIA,QUINDIO,63001,1,0
3/19/2020,BARRANQUILLA,BARRANQUILLA,8001,3,0
3/19/2020,BOGOTA,BOGOTA,11001,8,0
3/19/2020,BUCARAMANGA,SANTANDER,68001,1,0
3/19/2020,CARTAGENA,CARTAGENA,13001,1,0
3/19/2020,CUCUTA,NORTE SANTANDER,54001,3,0
3/19/2020,MEDELLIN,ANTIOQUIA,5001,3,0
3/19/2020,NEIVA,HUILA,41001,1,0
3/19/2020,PALMIRA,VALLE,76520,1,0
3/19/2020,POPAYAN,CAUCA,19001,2,0
3/19/2020,SOACHA,CUNDINAMARCA,25754,1,0
3/19/2020,VITERBO,CALDAS,17877,1,0
3/20/2020,ANAPOIMA,CUNDINAMARCA,25035,1,0
3/20/2020,BOGOTA,BOGOTA,11001,27,2
3/20/2020,CALI,VALLE,76001,1,0
3/20/2020,CARTAGENA,CARTAGENA,13001,1,0
3/20/2020,CHIA,CUNDINAMARCA,25175,1,0
3/20/2020,ENVIGADO,ANTIOQUIA,5266,2,0
3/20/2020,LA ESTRELLA,ANTIOQUIA,5380,1,0
3/20/2020,MADRID,CUNDINAMARCA,25430,1,0
3/20/2020,MEDELLIN,ANTIOQUIA,5001,7,0
3/20/2020,PEREIRA,RISARALDA,66001,1,0
3/20/2020,RIONEGRO,ANTIOQUIA,5615,1,0
3/20/2020,SANTA MARTA,STA MARTA D.E.,47001,2,1
3/20/2020,SOACHA,CUNDINAMARCA,25754,2,0
3/21/2020,BARRANQUILLA,BARRANQUILLA,8001,2,0
3/21/2020,BELLO,ANTIOQUIA,5088,1,0
3/21/2020,BOGOTA,BOGOTA,11001,5,0
3/21/2020,CALI,VALLE,76001,6,0
3/21/2020,CARTAGENA,CARTAGENA,13001,4,0
3/21/2020,CARTAGO,VALLE,76147,1,0
3/21/2020,CHIA,CUNDINAMARCA,25175,1,0
3/21/2020,CUCUTA,NORTE SANTANDER,54001,1,0
3/21/2020,GUARNE,ANTIOQUIA,5318,1,0
3/21/2020,IBAGUE,TOLIMA,73001,1,0
3/21/2020,MANIZALES,CALDAS,17001,1,0
3/21/2020,MEDELLIN,ANTIOQUIA,5001,1,0
